date,count,username,secretion_type
2023-03-24,2,Jotajotahs,"0"
2023-03-24,1,Thybak,"0"
2023-03-24,2,Zeonx91,"0"
2023-03-24,1,esloooz,"0"
2023-03-24,2,quimikuaxh,"0"
2023-03-25,1,HelloImNavy,"0"
2023-03-25,1,Jotajotahs,"0"
2023-03-25,1,Zeonx91,"0"
2023-03-25,1,esloooz,"0"
2023-03-25,1,quimikuaxh,"0"
2023-03-26,5,AntiaMsv,"0"
2023-03-26,1,HelloImNavy,"0"
2023-03-26,3,Jotajotahs,"0"
2023-03-26,2,Zeonx91,"0"
2023-03-26,1,esloooz,"0"
2023-03-26,1,quimikuaxh,"0"
2023-03-27,6,AntiaMsv,"0"
2023-03-27,1,HelloImNavy,"0"
2023-03-27,1,Jotajotahs,"0"
2023-03-27,2,Thybak,"0"
2023-03-27,1,Zeonx91,"0"
2023-03-27,1,esloooz,"0"
2023-03-27,2,quimikuaxh,"0"
2023-03-28,4,AntiaMsv,"0"
2023-03-28,2,HelloImNavy,"0"
2023-03-28,1,Jotajotahs,"0"
2023-03-28,1,Thybak,"0"
2023-03-28,1,Zeonx91,"0"
2023-03-28,1,esloooz,"0"
2023-03-28,2,quimikuaxh,"0"
2023-03-29,5,AntiaMsv,"0"
2023-03-29,1,HelloImNavy,"0"
2023-03-29,1,Jotajotahs,"0"
2023-03-29,1,Thybak,"0"
2023-03-29,2,Zeonx91,"0"
2023-03-29,2,esloooz,"0"
2023-03-29,2,quimikuaxh,"0"
2023-03-30,2,AntiaMsv,"0"
2023-03-30,1,HelloImNavy,"0"
2023-03-30,1,Jotajotahs,"0"
2023-03-30,2,Thybak,"0"
2023-03-30,1,Zeonx91,"0"
2023-03-30,1,esloooz,"0"
2023-03-30,1,quimikuaxh,"0"
2023-03-31,1,AntiaMsv,"0"
2023-03-31,1,HelloImNavy,"0"
2023-03-31,2,Jotajotahs,"0"
2023-03-31,2,Zeonx91,"0"
2023-03-31,1,quimikuaxh,"0"
2023-04-01,1,AntiaMsv,"0"
2023-04-01,1,HelloImNavy,"0"
2023-04-01,1,Thybak,"0"
2023-04-01,1,Zeonx91,"0"
2023-04-01,1,quimikuaxh,"0"
2023-04-02,1,AntiaMsv,"0"
2023-04-02,1,Jotajotahs,"0"
2023-04-02,2,Thybak,"0"
2023-04-02,2,Zeonx91,"0"
2023-04-02,2,esloooz,"0"
2023-04-02,2,quimikuaxh,"0"
2023-04-03,3,AntiaMsv,"0"
2023-04-03,1,HelloImNavy,"0"
2023-04-03,2,Thybak,"0"
2023-04-03,1,Zeonx91,"0"
2023-04-03,1,esloooz,"0"
2023-04-03,2,quimikuaxh,"0"
2023-04-04,2,AntiaMsv,"0"
2023-04-04,1,HelloImNavy,"0"
2023-04-04,3,Jotajotahs,"0"
2023-04-04,1,Thybak,"0"
2023-04-04,1,Zeonx91,"0"
2023-04-04,1,esloooz,"0"
2023-04-04,3,quimikuaxh,"0"
2023-04-05,2,Jotajotahs,"0"
2023-04-05,2,Zeonx91,"0"
2023-04-05,1,esloooz,"0"
2023-04-05,3,quimikuaxh,"0"
2023-04-06,2,AntiaMsv,"0"
2023-04-06,1,HelloImNavy,"0"
2023-04-06,2,Jotajotahs,"0"
2023-04-06,1,Thybak,"0"
2023-04-06,2,Zeonx91,"0"
2023-04-06,1,esloooz,"0"
2023-04-06,2,quimikuaxh,"0"
2023-04-07,1,HelloImNavy,"0"
2023-04-07,1,Jotajotahs,"0"
2023-04-07,2,Thybak,"0"
2023-04-07,1,Zeonx91,"0"
2023-04-07,2,esloooz,"0"
2023-04-07,1,quimikuaxh,"0"
2023-04-08,1,AntiaMsv,"0"
2023-04-08,1,HelloImNavy,"0"
2023-04-08,2,Jotajotahs,"0"
2023-04-08,1,Thybak,"0"
2023-04-08,1,Zeonx91,"0"
2023-04-08,2,esloooz,"0"
2023-04-08,2,quimikuaxh,"0"
2023-04-09,3,AntiaMsv,"0"
2023-04-09,2,HelloImNavy,"0"
2023-04-09,1,Jotajotahs,"0"
2023-04-09,2,Zeonx91,"0"
2023-04-09,2,esloooz,"0"
2023-04-09,1,quimikuaxh,"0"
2023-04-10,1,AntiaMsv,"0"
2023-04-10,1,HelloImNavy,"0"
2023-04-10,2,Jotajotahs,"0"
2023-04-10,1,Thybak,"0"
2023-04-10,2,Zeonx91,"0"
2023-04-10,1,esloooz,"0"
2023-04-10,1,quimikuaxh,"0"
2023-04-11,2,AntiaMsv,"0"
2023-04-11,1,HelloImNavy,"0"
2023-04-11,1,Jotajotahs,"0"
2023-04-11,1,Thybak,"0"
2023-04-11,2,Zeonx91,"0"
2023-04-11,1,esloooz,"0"
2023-04-11,1,quimikuaxh,"0"
2023-04-12,2,AntiaMsv,"0"
2023-04-12,1,HelloImNavy,"0"
2023-04-12,2,Thybak,"0"
2023-04-12,1,Zeonx91,"0"
2023-04-12,1,esloooz,"0"
2023-04-12,2,quimikuaxh,"0"
2023-04-13,2,AntiaMsv,"0"
2023-04-13,1,HelloImNavy,"0"
2023-04-13,1,Jotajotahs,"0"
2023-04-13,1,Thybak,"0"
2023-04-13,1,Zeonx91,"0"
2023-04-13,1,esloooz,"0"
2023-04-13,2,quimikuaxh,"0"
2023-04-14,1,AntiaMsv,"0"
2023-04-14,1,HelloImNavy,"0"
2023-04-14,2,Jotajotahs,"0"
2023-04-14,1,Thybak,"0"
2023-04-14,2,Zeonx91,"0"
2023-04-14,2,esloooz,"0"
